Event_time,Event_date,Event_size,Event_public,Event_price,Visitor_id
7:32 PM,1/9/2023,538,false,43,1
8:41 PM,7/27/2022,5098,false,99,2
5:34 PM,7/16/2022,423,true,97,3
1:46 PM,2/27/2023,3560,true,43,4
10:47 AM,8/2/2022,8915,false,71,5
3:12 PM,4/17/2023,9851,false,95,6
11:32 AM,10/27/2023,8720,false,57,7
4:56 PM,10/5/2022,7201,false,,
2:52 PM,3/21/2021,8949,false,69,9
2:51 PM,11/13/2021,4891,true,,
9:40 PM,12/23/2022,1698,false,80,11
12:05 PM,3/7/2023,6133,true,42,12
8:24 PM,11/10/2022,4460,true,43,13
7:22 PM,9/21/2022,2810,true,49,14
4:25 PM,8/9/2021,5284,true,93,15
5:28 PM,7/17/2023,9570,false,43,16
8:56 PM,4/29/2021,9419,true,59,17
11:05 AM,8/7/2022,3303,false,47,18
7:10 PM,11/6/2021,2713,false,69,19
7:40 PM,7/5/2023,8430,false,94,20
12:55 PM,4/5/2021,2534,false,57,21
10:33 PM,1/13/2023,1665,false,83,22
4:26 PM,12/31/2022,9198,true,89,23
11:02 PM,6/27/2023,9322,false,94,24
12:25 PM,5/25/2021,3637,true,67,25
12:01 PM,10/28/2023,3843,false,71,26
12:36 PM,6/3/2023,6782,true,56,27
3:29 PM,6/30/2022,7635,true,,
1:25 PM,5/25/2021,9689,false,58,29
11:01 PM,9/5/2023,6332,false,72,30
9:41 AM,10/15/2022,3185,false,77,31
5:46 PM,3/27/2023,2894,true,,
4:15 PM,5/20/2021,6983,false,68,33
10:18 PM,6/27/2021,5142,false,,
12:04 PM,12/17/2021,833,false,72,35
11:10 AM,7/2/2023,7773,false,46,36
1:37 PM,9/16/2023,5906,true,69,37
11:44 PM,10/7/2023,2141,true,45,38
6:56 PM,9/24/2022,3202,true,71,39
1:35 PM,6/29/2022,818,false,68,40
10:32 PM,1/23/2023,2601,false,44,41
8:33 PM,10/28/2021,1179,true,95,42
7:24 PM,3/4/2023,907,true,72,43
12:32 PM,8/5/2021,9550,true,53,44
5:42 PM,2/5/2023,9418,true,72,45
11:47 PM,8/30/2023,7220,true,43,46
11:57 PM,3/11/2022,1735,true,87,47
4:59 PM,4/7/2021,8930,false,53,48
9:44 AM,8/16/2022,3859,true,44,49
4:01 PM,9/15/2022,2868,false,57,50
11:18 PM,11/10/2022,5968,true,75,51
9:51 AM,2/24/2022,6227,false,98,52
11:06 AM,8/1/2023,8591,false,98,53
9:52 AM,5/30/2022,4150,true,66,54
7:16 PM,12/13/2022,4145,true,,
6:34 PM,3/25/2023,2540,false,78,56
5:28 PM,12/28/2022,2144,true,,
1:27 PM,8/11/2021,8746,false,53,58
2:05 PM,6/24/2023,843,false,54,59
1:12 PM,5/21/2022,7015,true,42,60
4:48 PM,6/23/2022,4170,true,87,61
5:45 PM,3/20/2022,6419,false,76,62
8:14 PM,5/11/2022,9817,false,61,63
11:49 PM,5/26/2023,5162,true,37,64
1:08 PM,8/11/2021,5797,false,72,65
2:22 PM,11/19/2021,3226,true,,
2:31 PM,5/20/2021,1823,false,55,67
9:34 AM,4/14/2021,7165,true,77,68
1:15 PM,10/8/2021,2728,false,72,69
2:06 PM,10/9/2021,845,false,77,70
11:27 AM,11/4/2023,1465,true,54,71
11:48 AM,7/3/2023,9497,false,46,72
11:22 AM,6/30/2021,5880,false,35,73
9:42 AM,5/10/2021,5666,true,94,74
9:03 PM,9/13/2023,8182,true,96,75
6:35 PM,9/6/2022,4691,false,43,76
10:29 PM,4/17/2021,9269,true,50,77
1:52 PM,10/18/2021,1037,true,100,78
7:51 PM,1/26/2023,7296,false,79,79
6:31 PM,2/26/2023,996,true,78,80
11:50 PM,2/1/2023,8290,true,,
5:01 PM,10/29/2022,408,true,78,82
9:06 PM,3/30/2022,8855,true,46,83
9:24 AM,9/25/2021,501,false,48,84
5:56 PM,5/28/2022,3219,false,76,85
10:33 PM,12/23/2022,8484,true,41,86
7:28 PM,5/29/2023,2973,true,88,87
4:10 PM,11/30/2022,8626,false,87,88
7:40 PM,4/6/2021,4669,false,77,89
6:02 PM,6/7/2023,3785,false,42,90
9:22 PM,2/22/2022,411,true,87,91
6:30 PM,8/26/2023,9385,false,67,92
9:52 AM,5/4/2021,9560,false,56,93
8:08 PM,6/9/2022,3055,true,47,94
6:50 PM,5/23/2022,4407,false,53,95
3:30 PM,1/30/2022,555,false,73,96
10:24 PM,4/15/2023,9175,false,92,97
10:16 PM,8/8/2023,9070,false,92,98
11:08 AM,12/15/2023,224,false,91,99
9:36 AM,1/1/2022,5760,false,42,100
3:22 PM,2/23/2023,53,true,,
9:42 AM,1/25/2023,8364,true,41,102
9:45 AM,11/17/2022,5045,false,90,103
10:34 AM,7/7/2022,4294,true,54,104
10:25 PM,12/6/2022,9935,true,35,105
10:36 PM,9/1/2021,4684,true,80,106
11:16 AM,6/23/2021,1703,true,41,107
1:32 PM,11/1/2022,3684,true,89,108
9:17 PM,5/15/2022,5546,false,44,109
10:55 PM,12/9/2023,929,false,50,110
2:34 PM,7/15/2022,4030,true,72,111
2:47 PM,6/20/2023,7443,false,43,112
8:49 PM,12/15/2022,8472,false,,
10:46 AM,10/16/2021,2259,true,39,114
11:10 AM,11/1/2023,9431,true,77,115
9:37 PM,5/19/2021,7807,false,,
8:34 PM,6/27/2023,7777,false,,
10:43 PM,7/23/2023,1215,false,56,118
7:06 PM,2/28/2023,751,false,35,119
6:34 PM,9/17/2021,2136,false,44,120
7:00 PM,12/8/2021,6502,false,69,121
9:23 AM,12/28/2023,3021,true,85,122
6:27 PM,12/18/2022,4505,false,93,123
3:26 PM,7/19/2022,7005,false,63,124
8:57 PM,9/24/2021,4469,true,,
12:19 PM,11/24/2022,4832,true,66,126
12:09 PM,5/23/2021,4730,true,,
9:01 AM,9/26/2021,6258,false,97,128
8:59 PM,10/29/2023,3263,true,45,129
11:38 AM,3/17/2023,5527,true,44,130
6:48 PM,12/11/2023,9177,true,95,131
9:01 PM,10/20/2023,2533,false,,
11:05 AM,7/2/2023,7800,false,97,133
7:37 PM,4/21/2023,8296,true,95,134
10:27 AM,12/20/2021,3586,false,,
3:21 PM,10/27/2023,908,false,69,136
11:31 PM,4/1/2021,279,true,64,137
6:33 PM,1/22/2022,3076,false,90,138
1:37 PM,7/12/2022,5869,true,96,139
3:45 PM,3/3/2022,4064,true,52,140
11:29 AM,7/16/2021,7151,false,35,141
7:27 PM,9/27/2023,7238,false,72,142
8:15 PM,8/9/2023,447,false,,
11:12 PM,3/6/2022,440,false,90,144
1:32 PM,11/21/2021,4005,true,,
9:06 AM,7/1/2021,6014,true,,
6:40 PM,11/23/2021,9698,false,50,147
12:10 PM,9/28/2022,7769,false,37,148
1:49 PM,5/27/2021,4680,true,88,149
9:54 AM,2/4/2023,6575,false,96,150
1:56 PM,5/11/2022,4786,true,85,151
10:42 PM,7/15/2022,6874,false,62,152
8:29 PM,11/23/2022,7419,false,63,153
9:38 AM,4/10/2022,1607,false,93,154
11:39 AM,8/13/2021,1624,false,92,155
11:10 AM,10/13/2023,8160,true,62,156
9:01 AM,3/15/2022,5606,false,59,157
11:03 PM,8/11/2023,3009,true,57,158
5:12 PM,10/9/2021,9582,false,84,159
11:20 PM,6/2/2022,8633,true,51,160
10:33 AM,3/22/2021,4562,false,,
12:11 PM,8/1/2021,3395,false,43,162
1:20 PM,5/3/2023,556,true,53,163
12:29 PM,5/10/2021,2508,true,,
3:08 PM,7/18/2021,9077,true,62,165
9:45 AM,1/14/2022,9914,true,93,166
4:16 PM,10/3/2023,5661,false,67,167
8:35 PM,8/7/2022,6003,true,96,168
9:55 PM,2/7/2022,4179,true,100,169
10:43 PM,8/24/2021,7022,false,81,170
10:23 AM,4/1/2022,648,false,55,171
11:22 AM,10/8/2023,8644,false,67,172
10:28 AM,7/20/2023,2245,false,41,173
12:00 PM,1/26/2023,7137,false,91,174
10:27 AM,7/30/2023,8317,true,88,175
6:57 PM,6/6/2022,8606,true,59,176
4:59 PM,7/5/2022,3119,false,87,177
10:20 PM,5/6/2022,1970,false,52,178
9:51 AM,10/12/2023,719,false,96,179
9:19 PM,3/24/2023,210,false,67,180
4:06 PM,3/28/2021,3780,false,,
11:43 PM,4/8/2023,5208,true,47,182
2:13 PM,11/20/2022,8915,true,98,183
8:25 PM,9/10/2023,183,true,51,184
4:10 PM,4/16/2023,5665,true,62,185
2:16 PM,2/18/2023,746,true,91,186
12:40 PM,3/23/2023,5739,true,,
1:20 PM,5/7/2023,5010,true,72,188
8:41 PM,8/4/2021,5319,true,37,189
7:53 PM,6/8/2023,8737,true,75,190
6:59 PM,8/11/2021,9497,false,41,191
10:49 PM,8/20/2023,9754,true,97,192
9:51 PM,7/14/2022,1784,true,88,193
9:14 PM,11/19/2022,5394,false,77,194
10:02 PM,4/4/2022,4707,true,36,195
11:16 AM,7/24/2021,1720,true,48,196
11:40 PM,9/2/2022,7609,true,,
7:29 PM,3/8/2022,4361,false,94,198
