Play_time,Visitor_id,Facilities_id
11:52 PM,1,1
11:11 PM,2,2
2:48 PM,3,3
2:44 PM,4,4
9:40 PM,5,5
3:06 PM,,6
4:49 PM,7,7
7:31 PM,8,8
9:56 AM,,9
12:45 PM,10,10
6:40 PM,,11
7:14 PM,12,12
9:51 AM,13,13
5:31 PM,14,14
6:10 PM,15,15
5:33 PM,16,16
10:07 PM,17,17
11:25 AM,18,18
11:13 AM,19,19
2:07 PM,,20
1:07 PM,21,21
1:18 PM,22,22
4:55 PM,23,23
5:59 PM,,24
1:54 PM,25,25
3:06 PM,26,26
1:13 PM,27,27
9:30 AM,28,28
1:51 PM,29,29
10:39 AM,30,30
5:10 PM,31,31
10:44 AM,,32
2:04 PM,33,33
12:08 PM,,34
5:36 PM,35,35
4:38 PM,36,36
3:22 PM,37,37
1:32 PM,38,38
4:20 PM,39,39
7:38 PM,40,40
10:31 PM,41,41
7:52 PM,42,42
5:40 PM,43,43
8:57 PM,,44
5:57 PM,45,45
12:36 PM,46,46
10:15 AM,47,47
3:07 PM,48,48
11:16 PM,49,49
6:50 PM,50,50
2:51 PM,51,51
11:34 AM,52,52
5:13 PM,53,53
2:12 PM,54,54
8:47 PM,55,55
5:48 PM,56,56
9:30 PM,57,57
1:14 PM,58,58
6:07 PM,,59
1:13 PM,60,60
6:31 PM,61,61
1:51 PM,62,62
3:39 PM,63,63
7:38 PM,64,64
1:23 PM,65,65
11:04 PM,66,66
10:02 AM,67,67
11:42 PM,68,68
9:24 PM,69,69
7:54 PM,70,70
10:33 AM,71,71
1:13 PM,72,72
12:04 PM,73,73
1:46 PM,74,74
2:12 PM,75,75
6:49 PM,76,76
5:56 PM,77,77
9:19 AM,,78
11:48 AM,79,79
5:14 PM,80,80
2:17 PM,81,81
11:35 AM,82,82
10:49 PM,83,83
5:32 PM,,84
1:28 PM,85,85
2:19 PM,86,86
6:47 PM,87,87
8:13 PM,88,88
10:47 PM,89,89
9:21 AM,90,90
8:15 PM,91,91
1:38 PM,92,92
8:24 PM,93,93
6:14 PM,,94
1:45 PM,95,95
7:57 PM,96,96
5:40 PM,97,97
6:00 PM,98,98
7:57 PM,99,99
11:38 AM,100,100
7:44 PM,101,101
11:14 PM,102,102
1:35 PM,103,103
1:58 PM,104,104
9:48 AM,,105
3:00 PM,106,106
11:29 PM,107,107
2:37 PM,108,108
10:16 AM,109,109
10:06 AM,110,110
8:41 PM,111,111
12:13 PM,112,112
7:46 PM,113,113
5:04 PM,,114
8:32 PM,,115
5:15 PM,116,116
10:03 PM,117,117
5:44 PM,118,118
1:39 PM,119,119
4:16 PM,120,120
8:25 PM,121,121
9:41 AM,122,122
9:20 AM,123,123
12:41 PM,124,124
9:15 AM,125,125
3:48 PM,,126
4:51 PM,127,127
10:33 PM,,128
7:00 PM,129,129
5:37 PM,130,130
3:32 PM,131,131
10:21 PM,,132
8:13 PM,,133
6:10 PM,134,134
11:34 PM,135,135
11:47 PM,136,136
4:04 PM,137,137
10:09 AM,138,138
9:26 PM,139,139
6:58 PM,140,140
10:20 AM,141,141
12:24 PM,142,142
2:03 PM,143,143
9:56 AM,144,144
9:11 AM,145,145
12:43 PM,146,146
2:49 PM,147,147
11:23 AM,148,148
5:01 PM,149,149
5:02 PM,150,150
3:38 PM,151,151
4:28 PM,152,152
9:59 PM,153,153
11:35 AM,154,154
2:53 PM,155,155
9:46 PM,156,156
10:26 AM,157,157
5:23 PM,158,158
5:40 PM,159,159
